aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.2285,-0.8430,0.5677,-5.1270,163.6353,-107.8491,12.4756,-17.6514,-3.0396
-0.1830,-0.9182,0.4181,-6.1646,161.8652,-103.2104,12.4756,-17.6514,-3.0396
-0.0889,-0.9957,0.2368,-7.9956,155.0293,-92.2241,15.9180,-15.4663,-3.3203
-0.0472,-1.0714,-0.1558,-7.5073,148.6206,-86.4258,15.9180,-15.4663,-3.3203
0.0695,-1.0925,-0.3119,0.0000,140.2588,-79.5288,15.9180,-15.4663,-3.3203
0.1388,-1.1021,-0.4078,-0.8545,120.7886,-65.3687,15.9180,-15.4663,-3.3203
0.2500,-1.0751,-0.4927,-2.0142,110.4126,-58.4717,19.8364,-14.3921,-2.3682
0.3175,-1.0784,-0.4935,-2.0752,100.0977,-52.2461,19.8364,-14.3921,-2.3682
0.3827,-1.0670,-0.4678,-12.9395,80.3833,-39.5508,19.8364,-14.3921,-2.3682
0.4518,-0.9474,-0.3136,-17.0288,71.1060,-33.5083,19.8364,-14.3921,-2.3682
0.4908,-0.8727,-0.2404,-16.2964,63.0493,-28.1372,19.8364,-14.3921,-2.3682
0.5145,-0.8087,-0.1951,-11.7187,49.9878,-19.8364,22.4609,-15.1245,-1.9287
0.5510,-0.6674,-0.2070,-9.2773,44.0674,-16.6016,22.4609,-15.1245,-1.9287
0.5664,-0.6127,-0.2213,-8.4229,38.2080,-14.5264,22.4609,-15.1245,-1.9287
0.5715,-0.5911,-0.2120,-7.8125,26.3672,-12.0239,22.4609,-15.1245,-1.9287
0.5784,-0.5847,-0.1865,-4.8218,20.9961,-11.1084,23.0835,-15.0269,-0.6470
0.5798,-0.6251,-0.2164,-0.6714,15.8691,-10.1929,23.0835,-15.0269,-0.6470
0.6361,-0.6757,-0.2927,-2.9297,5.3101,-7.0801,23.0835,-15.0269,-0.6470
0.5232,-0.7152,-0.4794,-3.0518,-0.9155,-5.2490,23.0835,-15.0269,-0.6470
0.5569,-0.7433,-0.6177,0.6104,-8.1787,-2.7466,23.0835,-15.0269,-0.6470
0.5325,-0.7521,-0.6982,-14.8315,-29.3579,4.0283,22.4609,-15.0024,-1.5991
0.4712,-0.6969,-0.7229,-17.3340,-41.8091,8.4229,22.4609,-15.0024,-1.5991
0.4453,-0.6580,-0.6802,-19.1650,-54.5044,12.0850,22.4609,-15.0024,-1.5991
0.4087,-0.6438,-0.6028,-13.4277,-78.6133,19.1650,22.4609,-15.0024,-1.5991
0.3136,-0.5601,-0.5588,-6.9580,-89.5996,22.9492,20.1172,-15.3564,-3.8574
0.2618,-0.5018,-0.5505,-2.2583,-101.1353,26.4282,20.1172,-15.3564,-3.8574
0.2109,-0.3928,-0.4895,-7.6294,-123.8403,30.7617,20.1172,-15.3564,-3.8574
0.0995,-0.2203,-0.2998,-7.6294,-134.8267,31.1279,20.1172,-15.3564,-3.8574
0.0601,-0.1349,-0.1544,-9.4604,-144.9585,30.5176,20.1172,-15.3564,-3.8574
0.0096,-0.1115,-0.0135,-8.3618,-160.4004,26.0010,15.1489,-15.5884,-3.5400
-0.0844,-0.2286,0.1433,-6.6528,-166.9312,23.9258,15.1489,-15.5884,-3.5400
-0.1556,-0.3110,0.2841,-5.8594,-173.4619,22.9492,15.1489,-15.5884,-3.5400
-0.1998,-0.3535,0.4750,1.1597,-184.3262,23.7427,15.1489,-15.5884,-3.5400
-0.2665,-0.5112,0.9303,3.0518,-186.6455,26.7334,11.9629,-16.7969,-3.3813
-0.2546,-0.4799,1.1418,5.1270,-186.8286,30.8838,11.9629,-16.7969,-3.3813
-0.2546,-0.3964,1.3378,7.5684,-179.1382,36.0107,11.9629,-16.7969,-3.3813
-0.2413,-0.2227,1.4573,18.3716,-172.1802,35.4614,11.9629,-16.7969,-3.3813
-0.2457,-0.1935,1.3129,19.8364,-165.2222,33.4473,11.9629,-16.7969,-3.3813
-0.2764,-0.1344,1.1749,11.1694,-158.4473,28.8696,10.6567,-17.2363,-6.1279
-0.3380,-0.3286,1.3081,2.5024,-158.6304,26.5503,10.6567,-17.2363,-6.1279
-0.3529,-0.4312,1.5540,1.7090,-158.4473,26.9775,10.6567,-17.2363,-6.1279
-0.3414,-0.4757,1.7914,6.4087,-149.3530,33.3252,10.6567,-17.2363,-6.1279
-0.3141,-0.3723,2.0652,16.1743,-140.6250,36.6821,7.7881,-17.9321,-9.2285
-0.2966,-0.2815,2.0121,22.6440,-130.5542,38.5742,7.7881,-17.9321,-9.2285
-0.2836,-0.1675,1.8776,25.5737,-112.7319,38.7573,7.7881,-17.9321,-9.2285
-0.2749,0.0251,1.7120,15.3809,-106.4453,36.3770,7.7881,-17.9321,-9.2285
-0.2740,0.0737,1.7939,5.7983,-101.6235,32.7148,7.7881,-17.9321,-9.2285
-0.2507,0.1083,1.8890,1.6479,-88.6230,25.3296,3.7354,-17.8467,-11.9629
-0.2081,0.0771,1.9702,1.0986,-79.9561,21.3013,3.7354,-17.8467,-11.9629
-0.1964,0.0195,1.9611,1.0376,-71.1670,17.7612,3.7354,-17.8467,-11.9629
-0.1823,-0.0170,1.9288,-1.0376,-53.5278,13.1226,3.7354,-17.8467,-11.9629
-0.1942,-0.1090,1.7738,-1.7700,-45.5933,11.5967,1.4648,-18.1519,-13.3789
-0.2061,-0.1353,1.6855,-1.2817,-39.1235,10.9253,1.4648,-18.1519,-13.3789
-0.2081,-0.1399,1.6251,3.9062,-29.9072,10.9863,1.4648,-18.1519,-13.3789
-0.2089,-0.1366,1.6432,5.4932,-26.1230,11.1084,1.4648,-18.1519,-13.3789
-0.2057,-0.1173,1.6642,7.8735,-21.9116,11.2915,1.4648,-18.1519,-13.3789
-0.2002,-0.0696,1.6722,9.2163,-12.1460,10.4370,0.7568,-18.6279,-12.1338
-0.1871,0.0125,1.6368,8.0566,-6.9580,8.7280,0.7568,-18.6279,-12.1338
-0.1940,0.0159,1.5968,6.3477,-2.5024,6.4087,0.7568,-18.6279,-12.1338
-0.1945,0.0060,1.5568,4.6387,1.4648,3.6621,0.7568,-18.6279,-12.1338
-0.1906,-0.0084,1.5236,-0.1831,9.6436,-1.2207,0.7324,-18.8232,-12.2070
-0.1783,-0.0516,1.5150,-4.0894,13.2446,-2.9907,0.7324,-18.8232,-12.2070
-0.1709,-0.0848,1.5321,-6.5308,17.0898,-4.1504,0.7324,-18.8232,-12.2070
-0.1670,-0.1250,1.5474,-8.5449,26.0620,-6.5308,0.7324,-18.8232,-12.2070
-0.1602,-0.1573,1.5140,-9.3384,31.1890,-6.8359,0.7324,-18.8232,-12.2070
-0.1517,-0.1511,1.4680,-9.7656,36.2549,-7.1411,1.6235,-19.0430,-11.9263
-0.1500,-0.1478,1.4170,-7.7515,44.6167,-8.8501,1.6235,-19.0430,-11.9263
-0.1494,-0.2012,1.2832,-4.2725,47.9736,-9.7656,1.6235,-19.0430,-11.9263
-0.1442,-0.2334,1.1915,-2.0142,50.7813,-10.1318,1.6235,-19.0430,-11.9263
-0.1362,-0.2460,1.0970,-2.8687,53.6499,-9.9487,3.7354,-18.9087,-12.4512
-0.1058,-0.2589,0.9509,-3.8452,53.8940,-10.1929,3.7354,-18.9087,-12.4512
-0.0936,-0.2708,0.9075,-3.6621,53.2227,-10.1318,3.7354,-18.9087,-12.4512
-0.0753,-0.2859,0.8820,-0.4883,50.5981,-10.0098,3.7354,-18.9087,-12.4512
-0.0526,-0.3563,0.8878,1.2817,49.3774,-9.5215,3.7354,-18.9087,-12.4512
-0.0474,-0.3788,0.8909,2.5024,48.5840,-8.2397,6.0669,-18.5059,-12.7930
-0.0397,-0.3823,0.8810,1.8921,47.6685,-5.4932,6.0669,-18.5059,-12.7930
-0.0192,-0.3953,0.8385,2.1362,46.9360,-4.3335,6.0669,-18.5059,-12.7930

-0.0841,-0.2415,1.3657,-2.9907,-95.2148,32.2876,2.4536,-15.9790,-7.8857
-0.0944,-0.2427,1.4175,-1.4038,-89.7217,31.4331,2.4536,-15.9790,-7.8857
-0.0936,-0.2761,1.4329,7.0801,-78.4302,29.9683,2.4536,-15.9790,-7.8857
-0.0853,-0.3436,1.4250,8.9722,-73.4863,30.0903,0.1587,-16.9556,-7.5928
-0.0842,-0.3336,1.4132,8.9111,-68.7256,30.7007,0.1587,-16.9556,-7.5928
-0.0875,-0.2974,1.3939,5.2490,-60.0586,31.4941,0.1587,-16.9556,-7.5928
-0.1069,-0.1714,1.2805,3.7842,-56.8848,31.2500,0.1587,-16.9556,-7.5928
-0.1100,-0.1190,1.2322,2.1362,-54.7485,29.9683,-2.0508,-16.9556,-9.6069
-0.1088,-0.1119,1.2252,4.5776,-52.6123,25.5737,-2.0508,-16.9556,-9.6069
-0.1063,-0.1686,1.1949,5.0049,-50.9033,23.7427,-2.0508,-16.9556,-9.6069
-0.1289,-0.1692,1.1179,4.2725,-49.5605,22.4609,-2.0508,-16.9556,-9.6069
-0.1587,-0.1547,1.0752,-1.3428,-51.0864,20.6909,-2.0508,-16.9556,-9.6069
-0.2013,-0.1283,1.2349,-4.3945,-52.8564,19.5923,-3.4790,-17.0166,-10.0830
-0.2135,-0.1276,1.3970,-5.4321,-53.4058,18.4326,-3.4790,-17.0166,-10.0830
-0.2231,-0.1193,1.5477,-0.4883,-48.9502,17.0288,-3.4790,-17.0166,-10.0830
-0.2469,-0.0742,1.7418,2.0142,-44.6777,16.2964,-3.4790,-17.0166,-10.0830
-0.2590,-0.0503,1.8391,4.2114,-39.7339,15.2588,-5.4077,-16.8945,-11.3037
-0.2637,-0.0133,1.9375,5.4932,-18.2495,12.5732,-5.4077,-16.8945,-11.3037
-0.2695,0.1241,2.0555,1.5869,-19.0430,10.4980,-5.4077,-16.8945,-11.3037
-0.2739,0.2106,2.0913,-1.9531,-10.7422,7.5073,-5.4077,-16.8945,-11.3037
-0.2794,0.2823,2.1071,-3.6011,12.9395,-1.2817,-5.4077,-16.8945,-11.3037
-0.2877,0.3334,1.9907,1.4038,14.0381,-6.1035,-5.8838,-16.7114,-11.6699
-0.2988,0.3175,1.8954,4.6387,21.6675,-11.5967,-5.8838,-16.7114,-11.6699
-0.3010,0.2981,1.8179,6.8970,33.3252,-21.7285,-5.8838,-16.7114,-11.6699
-0.3190,0.2114,1.7585,8.2397,38.3301,-26.4282,-5.8838,-16.7114,-11.6699
-0.3185,0.1666,1.7657,8.1787,43.3350,-30.0903,-3.9673,-16.6992,-11.4136
-0.3143,0.1617,1.7596,6.2866,48.5840,-36.0718,-3.9673,-16.6992,-11.4136
-0.3251,0.1676,1.6757,6.5308,59.3262,-39.3066,-3.9673,-16.6992,-11.4136
-0.3242,0.1547,1.6133,9.1553,64.2700,-42.5415,-3.9673,-16.6992,-11.4136
-0.3322,0.1315,1.5298,10.6201,68.5425,-48.8892,-3.9673,-16.6992,-11.4136
-0.3501,0.1045,1.4849,7.2021,74.2798,-51.7578,0.0122,-17.1875,-9.0942
-0.3491,0.0945,1.5614,6.4087,76.6602,-54.3823,0.0122,-17.1875,-9.0942
-0.3440,0.0776,1.6365,8.9111,80.1392,-60.0586,0.0122,-17.1875,-9.0942
-0.3395,0.0154,1.6753,18.1274,91.0034,-62.9272,0.0122,-17.1875,-9.0942
-0.3496,-0.0592,1.5398,30.7617,96.9849,-64.6973,3.5278,-15.3198,-7.5684
-0.3446,-0.1392,1.4962,26.9775,102.4170,-67.7490,3.5278,-15.3198,-7.5684
-0.3523,-0.1808,1.4460,28.1372,112.2437,-70.8008,3.5278,-15.3198,-7.5684
-0.3348,-0.2529,1.3099,26.1841,116.8823,-72.3877,3.5278,-15.3198,-7.5684
-0.3248,-0.2983,1.2131,23.3154,121.0938,-73.7915,3.5278,-15.3198,-7.5684
-0.3115,-0.3464,1.1423,20.3247,127.6245,-76.5991,5.7861,-11.8164,-5.0903
-0.2699,-0.4896,0.9335,21.9727,130.8594,-77.6978,5.7861,-11.8164,-5.0903
-0.2443,-0.6007,0.7656,27.1606,133.4229,-78.5522,5.7861,-11.8164,-5.0903
-0.2119,-0.7219,0.5791,32.1655,134.4604,-75.3784,5.7861,-11.8164,-5.0903
-0.1136,-0.8829,0.2582,24.1699,132.7515,-72.1436,6.4209,-7.6538,-3.9429
-0.0656,-0.9038,0.1555,13.0005,129.5776,-68.6035,6.4209,-7.6538,-3.9429
-0.0232,-0.9114,0.0483,2.6245,125.9155,-65.3076,6.4209,-7.6538,-3.9429
0.0208,-0.9232,-0.0840,-3.0518,116.7603,-59.8755,6.4209,-7.6538,-3.9429
0.1328,-1.0015,-0.3749,0.6104,110.1685,-56.8237,6.4209,-7.6538,-3.9429
0.1899,-1.0673,-0.5244,5.0659,101.9897,-53.5278,8.3496,-5.8472,-6.1646
0.2538,-1.1356,-0.6672,10.4370,81.6650,-43.5181,8.3496,-5.8472,-6.1646
0.3464,-1.1831,-0.8755,8.5449,69.5190,-37.5366,8.3496,-5.8472,-6.1646
0.3812,-1.1735,-0.9009,6.8359,56.2134,-31.4941,8.3496,-5.8472,-6.1646
0.4092,-1.1365,-0.8984,6.3477,30.2734,-19.7754,7.9712,-5.0171,-6.1279
0.4568,-1.0153,-0.8160,6.4697,18.0664,-14.9536,7.9712,-5.0171,-6.1279
0.4886,-0.9695,-0.7438,5.6763,6.8970,-11.1694,7.9712,-5.0171,-6.1279
0.4995,-0.9316,-0.7268,-3.1128,-10.0708,-5.6152,7.9712,-5.0171,-6.1279
0.4751,-0.8334,-0.7987,-6.5308,-19.4702,-3.7231,7.9712,-5.0171,-6.1279
0.4624,-0.7985,-0.8287,-8.6060,-29.2969,-2.6245,8.3130,-4.9561,-6.5430
0.4353,-0.7833,-0.8347,-13.6719,-51.0864,0.4272,8.3130,-4.9561,-6.5430
0.3635,-0.7373,-0.7903,-16.3574,-62.3779,2.1973,8.3130,-4.9561,-6.5430
0.3099,-0.7241,-0.7316,-18.1885,-73.9136,3.7842,8.3130,-4.9561,-6.5430
0.2654,-0.7346,-0.6448,-17.3950,-85.0830,7.6294,5.7007,-6.2500,-5.0293
0.1458,-0.7057,-0.4492,-14.0991,-105.3467,10.0098,5.7007,-6.2500,-5.0293
0.0807,-0.6644,-0.3405,-13.1836,-114.5630,12.3291,5.7007,-6.2500,-5.0293
0.0151,-0.6270,-0.2081,-10.6812,-122.9858,15.7471,5.7007,-6.2500,-5.0293
-0.1071,-0.5966,0.0541,-6.9580,-135.9863,16.6626,5.7007,-6.2500,-5.0293
-0.1674,-0.6074,0.1794,-5.7373,-141.0522,17.4561,5.6396,-7.8613,-3.6743
-0.2251,-0.6040,0.3113,-5.9204,-148.6206,19.5313,5.6396,-7.8613,-3.6743
-0.3528,-0.6505,0.5729,-8.4839,-152.1606,20.9351,5.6396,-7.8613,-3.6743
-0.4082,-0.6647,0.7965,-7.2632,-155.6396,22.8882,5.6396,-7.8613,-3.6743
-0.4493,-0.6764,1.0699,1.7700,-157.0435,28.0151,6.0303,-10.7300,-6.0669
-0.5005,-0.6796,1.5730,8.3008,-154.3579,30.8838,6.0303,-10.7300,-6.0669
-0.5031,-0.6350,1.7766,13.8550,-149.1089,33.6914,6.0303,-10.7300,-6.0669
-0.5072,-0.5945,1.9301,16.9067,-132.9956,36.9873,6.0303,-10.7300,-6.0669
-0.5083,-0.4301,2.1249,17.3950,-124.2676,38.1470,6.0303,-10.7300,-6.0669
-0.5126,-0.3256,2.2401,11.7798,-114.9902,37.8418,4.3335,-11.0229,-9.3994
-0.5092,-0.2434,2.3690,9.1553,-93.9941,33.6304,4.3335,-11.0229,-9.3994
-0.4473,-0.1591,2.5876,12.1460,-81.9092,30.3345,4.3335,-11.0229,-9.3994
-0.4027,-0.1951,2.6179,17.6392,-68.4204,26.2451,4.3335,-11.0229,-9.3994
-0.3647,-0.2518,2.5526,21.1792,-39.7949,20.2026,1.2695,-10.7544,-14.3311
-0.3132,-0.3304,2.2797,19.9585,-27.2827,18.3105,1.2695,-10.7544,-14.3311
-0.2982,-0.3381,2.0858,18.3716,-16.0522,16.7236,1.2695,-10.7544,-14.3311
-0.2916,-0.3326,1.8756,18.3716,-1.2207,14.2822,1.2695,-10.7544,-14.3311
-0.2654,-0.3119,1.5074,16.4795,2.8076,12.6953,1.2695,-10.7544,-14.3311
-0.2528,-0.3068,1.4187,12.7563,5.3101,11.0474,0.3540,-10.3271,-13.1958
-0.2346,-0.3104,1.3741,10.0708,6.7139,9.3994,0.3540,-10.3271,-13.1958
-0.2131,-0.3335,1.3419,10.3149,9.5825,6.5918,0.3540,-10.3271,-13.1958
-0.1777,-0.3842,1.2404,10.4980,11.2305,5.3711,0.3540,-10.3271,-13.1958
-0.1650,-0.3997,1.1771,11.1084,12.4512,4.7607,1.1841,-10.0220,-13.9648
-0.1500,-0.3838,1.1230,7.6904,14.5264,3.4180,1.1841,-10.0220,-13.9648
-0.1228,-0.3105,1.0503,4.8828,15.1367,1.8921,1.1841,-10.0220,-13.9648
-0.1105,-0.3142,1.0416,3.0518,15.7471,-0.3662,1.1841,-10.0220,-13.9648
-0.0991,-0.3440,1.0356,2.5024,17.7002,-3.8452,1.1841,-10.0220,-13.9648
-0.0801,-0.4158,1.0049,2.0142,19.1040,-5.1270,2.0386,-9.0942,-13.6353
-0.0773,-0.4510,0.9730,0.9766,20.5078,-6.2866,2.0386,-9.0942,-13.6353
-0.0773,-0.4827,0.9315,0.0000,22.5220,-7.2632,2.0386,-9.0942,-13.6353
-0.0669,-0.5540,0.8541,0.6104,23.0713,-7.3242,2.0386,-9.0942,-13.6353
-0.0615,-0.5952,0.8140,1.9531,23.1934,-6.7749,2.8320,-9.1675,-11.5356
-0.0620,-0.6162,0.7690,4.2725,22.1558,-4.2114,2.8320,-9.1675,-11.5356
-0.0371,-0.5706,0.6892,4.5166,21.1182,-3.3569,2.8320,-9.1675,-11.5356
-0.0281,-0.5630,0.6713,4.3945,19.6533,-2.9907,2.8320,-9.1675,-11.5356
-0.0283,-0.5632,0.6538,3.7842,16.2964,-2.3804,2.8320,-9.1675,-11.5356
-0.0297,-0.5438,0.6252,2.8076,14.2212,-1.8921,3.6743,-9.1309,-11.9263
-0.0229,-0.5422,0.6553,2.0752,11.7798,-1.5869,3.6743,-9.1309,-11.9263
-0.0214,-0.5563,0.7050,-0.9766,8.6060,-1.0986,3.6743,-9.1309,-11.9263
-0.0175,-0.5793,0.7550,-1.0986,7.6904,-0.4883,3.6743,-9.1309,-11.9263
-0.0204,-0.5765,0.7626,-1.5869,7.0801,0.4272,4.4189,-9.5337,-11.2305
-0.0133,-0.5554,0.7898,-3.9673,5.7373,2.0142,4.4189,-9.5337,-11.2305
-0.0172,-0.5137,0.8618,-4.6387,5.4932,2.1973,4.4189,-9.5337,-11.2305
-0.0179,-0.5110,0.8774,-3.3569,5.6152,1.9531,4.4189,-9.5337,-11.2305
-0.0190,-0.5144,0.8763,-1.6479,6.6528,1.9531,4.4189,-9.5337,-11.2305
-0.0165,-0.5112,0.8660,-2.5024,6.8359,2.0752,4.5288,-9.5825,-10.9985
-0.0204,-0.4758,0.8627,-3.9673,6.7749,2.4414,4.5288,-9.5825,-10.9985
-0.0242,-0.4446,0.8822,-4.2725,6.5308,1.7700,4.5288,-9.5825,-10.9985
-0.0223,-0.4377,0.9042,-1.9531,6.6528,0.7935,4.5288,-9.5825,-10.9985
-0.0214,-0.4636,0.9017,-0.4272,6.8970,-0.2441,4.7363,-9.3506,-10.7788
-0.0233,-0.4965,0.8878,0.1221,7.3853,-1.1597,4.7363,-9.3506,-10.7788
-0.0193,-0.5220,0.8522,-1.1597,7.4463,-1.1597,4.7363,-9.3506,-10.7788
-0.0211,-0.5137,0.8501,-1.6479,7.1411,-0.6714,4.7363,-9.3506,-10.7788

0.1534,-0.8280,-0.9938,-6.1035,-85.9375,25.0854,8.6426,-9.3506,-6.8726
0.0536,-0.8201,-1.0878,-11.6577,-99.5483,26.7944,8.6426,-9.3506,-6.8726
-0.0458,-0.9077,-0.9680,-7.8125,-135.8643,32.0435,8.6426,-9.3506,-6.8726
-0.2679,-1.2048,-0.2588,-0.5493,-152.5269,38.1470,6.0181,-11.8286,-5.1147
-0.3733,-1.2488,0.1912,3.9673,-165.2832,46.7529,6.0181,-11.8286,-5.1147
-0.4801,-1.1881,0.6335,10.1318,-177.4902,66.2231,6.0181,-11.8286,-5.1147
-0.5946,-0.7938,1.5017,13.0005,-176.6357,74.3408,6.0181,-11.8286,-5.1147
-0.6052,-0.5477,1.8602,12.5122,-170.7153,79.2236,2.2339,-14.7827,-6.6772
-0.6031,-0.2532,2.1007,2.0142,-147.4609,79.8340,2.2339,-14.7827,-6.6772
-0.5675,0.1791,2.2701,-1.7700,-133.0566,74.8901,2.2339,-14.7827,-6.6772
-0.5422,0.2749,2.2269,-4.7607,-119.4458,67.6270,2.2339,-14.7827,-6.6772
-0.5067,0.2838,2.1815,-4.1504,-95.8862,50.6592,-1.9287,-16.2964,-9.1431
-0.4607,0.0529,1.9709,-0.4883,-86.4868,43.6401,-1.9287,-16.2964,-9.1431
-0.4429,-0.1035,1.8906,2.6855,-79.4067,38.8184,-1.9287,-16.2964,-9.1431
-0.4313,-0.2390,1.8325,7.2632,-70.0684,36.9263,-1.9287,-16.2964,-9.1431
-0.3875,-0.3754,1.8549,9.7656,-66.4673,38.6963,-1.9287,-16.2964,-9.1431
-0.3467,-0.3109,1.8911,10.3760,-62.3169,41.3208,-4.8828,-15.0879,-10.8276
-0.3175,-0.1866,1.9117,8.2397,-52.3682,43.5181,-4.8828,-15.0879,-10.8276
-0.2723,0.0768,1.9200,7.3853,-46.9360,42.0532,-4.8828,-15.0879,-10.8276
-0.2532,0.1903,1.9304,7.0801,-41.2598,38.7573,-4.8828,-15.0879,-10.8276
-0.2361,0.2620,1.9100,7.5073,-28.3813,27.7100,-6.7505,-14.4043,-11.5112
-0.2108,0.2589,1.7987,6.8970,-21.9727,21.1792,-6.7505,-14.4043,-11.5112
-0.2057,0.2213,1.7192,4.2114,-15.8081,15.0146,-6.7505,-14.4043,-11.5112
-0.2140,0.1852,1.5820,-1.2817,-6.4087,4.7607,-6.7505,-14.4043,-11.5112
-0.2120,0.1331,1.3984,-1.6479,-4.6997,0.5493,-6.7505,-14.4043,-11.5112
-0.2067,0.0822,1.4177,-2.3804,-3.9673,-2.9297,-6.8481,-13.5742,-12.4512
-0.1989,0.0271,1.4630,-0.3052,-1.3428,-7.5684,-6.8481,-13.5742,-12.4512
-0.1748,-0.0139,1.5719,2.8076,1.2817,-9.0332,-6.8481,-13.5742,-12.4512
-0.1702,0.0000,1.5583,4.2114,5.1880,-10.3760,-6.8481,-13.5742,-12.4512
-0.1727,0.0331,1.5344,1.8921,12.9395,-14.1602,-6.8481,-14.3921,-11.6089
-0.1758,0.1458,1.5586,-0.1831,16.9067,-16.7236,-6.8481,-14.3921,-11.6089
-0.1891,0.1910,1.5782,-0.6714,21.0571,-20.2637,-6.8481,-14.3921,-11.6089
-0.1995,0.2352,1.5894,2.6245,30.4565,-28.9307,-6.8481,-14.3921,-11.6089
-0.2383,0.2235,1.4662,6.1035,34.9731,-34.1187,-6.8481,-14.3921,-11.6089
-0.2594,0.1794,1.4103,8.2397,38.2690,-38.7573,-4.6021,-15.2954,-12.0361
-0.2886,0.1230,1.3762,8.5449,42.8467,-46.0205,-4.6021,-15.2954,-12.0361
-0.3309,0.0332,1.4259,7.9956,44.0674,-48.5840,-4.6021,-15.2954,-12.0361
-0.3308,-0.0040,1.5581,10.0708,45.4102,-50.5371,-4.6021,-15.2954,-12.0361
